"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.05.2018","565,07","569,95","570,08","563,30","157,20M","-1,22%"
"22.05.2018","572,05","569,80","572,90","569,13","121,01M","0,35%"
"21.05.2018","570,07","568,23","571,08","568,06","113,89M","0,54%"
"18.05.2018","567,03","567,71","570,22","565,10","97,90M","-0,34%"
"17.05.2018","568,96","565,14","568,96","564,95","100,19M","0,68%"
"16.05.2018","565,13","562,99","565,48","562,99","84,73M","0,11%"
"15.05.2018","564,49","562,50","565,77","561,99","93,15M","0,17%"
"14.05.2018","563,52","562,11","563,57","561,52","74,65M","0,22%"
"11.05.2018","562,27","561,63","562,94","560,38","85,20M","0,02%"
"10.05.2018","562,18","561,11","563,12","560,46","75,66M","0,12%"
"09.05.2018","561,51","559,04","561,51","558,45","110,85M","0,54%"
"08.05.2018","558,51","557,24","559,74","556,66","85,27M","0,12%"
"07.05.2018","557,86","555,23","557,97","554,99","43,82M","0,39%"
"04.05.2018","555,70","552,65","555,76","552,37","80,83M","0,72%"
"03.05.2018","551,73","554,24","555,30","550,42","87,87M","-0,74%"
"02.05.2018","555,86","555,54","557,69","555,07","98,37M","0,02%"
"30.04.2018","555,73","554,23","555,89","553,92","79,42M","0,14%"
"27.04.2018","554,94","554,84","556,15","553,16","82,10M","0,10%"
"26.04.2018","554,41","549,90","554,76","548,84","110,74M","0,49%"
"25.04.2018","551,73","551,08","553,57","548,79","92,52M","-0,85%"
"24.04.2018","556,44","552,48","556,51","552,29","82,77M","0,40%"
"23.04.2018","554,25","550,17","554,33","549,02","78,62M","0,70%"
"20.04.2018","550,38","549,13","552,04","548,57","94,70M","-0,17%"
"19.04.2018","551,31","553,72","553,83","550,01","78,61M","-0,37%"
"18.04.2018","553,35","550,62","553,83","550,62","95,13M","0,37%"
"17.04.2018","551,32","548,10","552,33","547,31","79,33M","0,86%"
"16.04.2018","546,62","548,43","549,02","545,96","72,39M","-0,26%"
"13.04.2018","548,05","547,99","549,07","546,54","77,42M","0,03%"
"12.04.2018","547,90","545,10","548,75","544,56","93,88M","0,62%"
"11.04.2018","544,50","544,19","545,53","542,16","80,88M","-0,14%"
"10.04.2018","545,25","543,11","545,57","541,39","89,35M","0,99%"
"09.04.2018","539,90","540,39","541,65","537,53","67,39M","0,11%"
"06.04.2018","539,29","538,11","541,14","537,60","82,82M","-0,22%"
"05.04.2018","540,49","534,45","541,10","533,64","99,72M","2,72%"
"04.04.2018","526,19","528,96","529,39","521,68","91,22M","-0,43%"
"03.04.2018","528,48","525,32","530,40","524,29","81,24M","-0,20%"
"29.03.2018","529,52","528,13","532,22","526,23","83,47M","0,48%"
"28.03.2018","527,00","521,04","527,10","517,70","104,57M","0,24%"
"27.03.2018","525,76","527,16","528,14","524,91","88,60M","1,35%"
"26.03.2018","518,75","522,68","524,80","516,58","81,87M","-0,52%"
"23.03.2018","521,45","523,67","525,24","517,88","103,65M","-1,31%"
"22.03.2018","528,37","532,81","536,05","524,57","108,44M","-1,51%"
"21.03.2018","536,48","535,46","536,57","533,22","78,43M","0,19%"
"20.03.2018","535,45","532,45","536,11","530,79","78,11M","0,74%"
"19.03.2018","531,52","536,29","536,76","530,31","78,20M","-1,01%"
"16.03.2018","536,92","533,53","537,82","533,36","192,00M","0,68%"
"15.03.2018","533,30","532,93","534,29","530,77","80,69M","0,44%"
"14.03.2018","530,97","531,23","534,64","529,89","84,19M","-0,29%"
"13.03.2018","532,52","538,53","539,53","530,52","83,98M","-1,10%"
"12.03.2018","538,43","539,73","539,75","536,25","62,07M","0,24%"
"09.03.2018","537,14","534,87","537,91","534,32","72,56M","0,36%"
"08.03.2018","535,22","531,33","536,56","530,44","92,30M","0,85%"
"07.03.2018","530,71","526,02","531,23","524,83","79,90M","0,44%"
"06.03.2018","528,36","530,92","531,07","528,33","79,45M","0,35%"
"05.03.2018","526,51","517,79","527,32","517,79","85,10M","1,50%"
"02.03.2018","518,72","524,78","525,61","517,27","112,83M","-2,05%"
"01.03.2018","529,59","533,05","533,38","527,10","94,19M","-1,12%"
"28.02.2018","535,58","535,69","539,08","535,24","90,74M","-0,42%"
"27.02.2018","537,83","540,36","540,65","536,57","78,30M","-0,09%"
"26.02.2018","538,31","536,88","540,18","536,64","63,60M","0,79%"
"23.02.2018","534,09","533,68","534,58","531,23","57,59M","0,27%"
"22.02.2018","532,64","530,11","533,51","528,37","80,29M","-0,25%"
"21.02.2018","533,95","531,46","534,47","529,54","74,92M","0,19%"
"20.02.2018","532,93","528,68","533,33","528,02","72,96M","0,79%"
"19.02.2018","528,76","533,79","533,79","527,85","52,04M","-0,66%"
"16.02.2018","532,27","530,72","533,00","529,96","89,35M","0,89%"
"15.02.2018","527,57","528,06","529,43","525,58","102,68M","0,37%"
"14.02.2018","525,64","523,98","527,48","518,05","102,14M","0,97%"
"13.02.2018","520,57","524,78","525,27","520,57","79,22M","-0,67%"
"12.02.2018","524,10","524,30","526,57","521,61","94,41M","1,11%"
"09.02.2018","518,33","522,97","525,40","515,96","138,18M","-1,48%"
"08.02.2018","526,12","532,94","533,87","524,21","116,79M","-1,91%"
"07.02.2018","536,36","533,73","537,72","529,52","127,52M","1,93%"
"06.02.2018","526,18","523,19","533,60","522,20","190,47M","-3,04%"
"05.02.2018","542,65","544,07","545,16","540,77","99,11M","-1,35%"
"02.02.2018","550,08","555,70","555,70","549,95","91,61M","-1,22%"
"01.02.2018","556,87","563,02","563,54","555,84","103,09M","-0,65%"
"31.01.2018","560,52","560,43","562,08","559,15","108,81M","-0,09%"
"30.01.2018","561,00","563,23","564,76","559,88","94,38M","-0,89%"
"29.01.2018","566,06","567,58","567,58","565,08","69,05M","-0,13%"
"26.01.2018","566,79","565,00","567,70","564,40","61,20M","0,30%"
"25.01.2018","565,07","564,80","569,21","563,35","84,89M","-0,17%"
"24.01.2018","566,04","570,04","570,44","566,04","80,16M","-0,80%"
"23.01.2018","570,60","572,75","572,81","569,26","92,87M","-0,04%"
"22.01.2018","570,82","569,08","570,90","568,86","76,78M","0,27%"
"19.01.2018","569,30","565,67","570,27","565,54","84,82M","0,50%"
"18.01.2018","566,49","565,88","566,49","564,15","89,79M","0,57%"
"17.01.2018","563,28","561,72","564,09","561,33","88,43M","0,37%"
"16.01.2018","561,18","561,70","562,70","560,26","75,08M","0,02%"
"15.01.2018","561,06","561,50","562,23","559,86","56,71M","-0,01%"
"12.01.2018","561,10","559,99","561,10","557,93","87,55M","0,40%"
